Churn;Gender;SeniorCitizen;Partner;Dependents;Tenure;PhoneService;MultipleLines;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;Contract;PaperlessBilling;PaymentMethod;DailyCharges;MonthlyCharges;AvgServiceCost;TotalCharges;ServiceCount;TenureGroup;Churn_binary
No;Female;No;Yes;Yes;55;Yes;No;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;One year;Yes;Bank transfer (automatic);102,85;103,7;17,283333333333335;5656,75;6;49–60;0
No;Male;No;Yes;Yes;54;Yes;No;No;No;No;No;No;No;No;Two year;No;Credit card (automatic);20,2;20,4;20,4;1090,6;1;49–60;0
No;Male;No;No;No;26;Yes;No;No;No;No;No;No;No;No;One year;Yes;Bank transfer (automatic);18,15;19,6;19,6;471,85;1;25–36;0
No;Female;No;Yes;Yes;69;Yes;No;No;No;No;No;No;No;No;Two year;No;Bank transfer (automatic);20,24;19,7;19,7;1396,9;1;61–72;0
No;Male;No;Yes;Yes;37;Yes;No;Fiber optic;No;No;No;No;Yes;Yes;One year;No;Credit card (automatic);87,77;91,2;30,400000000000002;3247,55;3;37–48;0
No;Female;No;Yes;No;49;Yes;No;No;No;No;No;No;No;No;One year;No;Bank transfer (automatic);18,39;20,45;20,45;900,9;1;49–60;0
No;Male;No;Yes;No;66;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;One year;No;Bank transfer (automatic);120,34;115,8;16,54285714285714;7942,15;7;61–72;0
No;Female;No;No;No;67;Yes;No;No;No;No;No;No;No;No;One year;No;Electronic check;20,05;20,55;20,55;1343,4;1;61–72;0
No;Male;No;Yes;Yes;20;No;No;Dsl;Yes;No;Yes;Yes;No;No;Two year;Yes;Credit card (automatic);41,27;39,4;13,133333333333333;825,4;3;13–24;0
No;Female;No;No;Yes;43;Yes;Yes;No;No;No;No;No;No;No;Two year;Yes;Electronic check;24,89;25,1;25,1;1070,15;1;37–48;0
No;Female;No;Yes;No;55;Yes;Yes;Fiber optic;Yes;No;No;No;Yes;No;Month-to-month;Yes;Bank transfer (automatic);90,17;89,8;29,933333333333334;4959,6;3;49–60;0
No;Female;No;Yes;No;59;Yes;Yes;Fiber optic;Yes;Yes;No;No;Yes;No;Month-to-month;Yes;Electronic check;94,88;94,75;23,6875;5597,65;4;49–60;0
No;Female;No;Yes;Yes;12;Yes;No;No;No;No;No;No;No;No;Two year;No;Bank transfer (automatic);18,71;20,3;20,3;224,5;1;0–12;0
No;Male;No;Yes;Yes;27;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Bank transfer (automatic);71,44;75,75;75,75;1929,0;1;25–36;0
Yes;Male;Yes;No;No;2;Yes;No;Dsl;Yes;No;No;No;No;No;Month-to-month;Yes;Electronic check;45,55;49,25;24,625;91,1;2;0–12;1
No;Female;No;No;No;27;Yes;No;Dsl;No;Yes;Yes;Yes;Yes;Yes;One year;No;Mailed check;77,0;78,2;13,033333333333333;2078,95;6;25–36;0
No;Male;No;Yes;Yes;25;Yes;Yes;No;No;No;No;No;No;No;Two year;No;Credit card (automatic);25,22;25,5;25,5;630,6;1;25–36;0
No;Male;No;Yes;Yes;25;Yes;No;Dsl;Yes;Yes;Yes;No;No;No;One year;Yes;Bank transfer (automatic);64,44;61,6;15,4;1611,0;4;25–36;0
No;Male;No;No;Yes;29;No;No;Dsl;Yes;Yes;Yes;Yes;No;No;Month-to-month;Yes;Mailed check;42,84;45,0;11,25;1242,45;4;25–36;0
No;Male;No;Yes;No;72;Yes;Yes;Dsl;No;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);87,72;85,15;14,191666666666668;6316,2;6;61–72;0
No;Female;No;No;No;14;Yes;No;Dsl;No;Yes;No;No;No;No;One year;No;Credit card (automatic);51,99;51,45;25,725;727,85;2;13–24;0
No;Female;No;No;No;35;Yes;No;Fiber optic;No;No;Yes;Yes;Yes;Yes;One year;Yes;Electronic check;100,91;99,25;19,85;3532,0;5;25–36;0
No;Male;No;No;No;1;Yes;No;Dsl;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;44,3;44,3;44,3;44,3;1;0–12;0
No;Male;No;No;No;29;Yes;No;Fiber optic;No;No;No;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;89,92;94,2;23,55;2607,6;4;25–36;0
No;Male;No;No;No;64;Yes;Yes;Dsl;Yes;Yes;Yes;Yes;Yes;No;One year;No;Electronic check;86,99;81,25;13,541666666666666;5567,55;6;61–72;0
No;Female;No;Yes;Yes;39;Yes;Yes;Fiber optic;No;No;No;Yes;Yes;Yes;Month-to-month;Yes;Credit card (automatic);96,6;99,95;24,9875;3767,4;4;37–48;0
No;Female;Yes;No;No;40;Yes;No;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;91,84;91,55;30,516666666666666;3673,6;3;37–48;0
Yes;Male;No;No;No;40;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);100,92;104,5;20,9;4036,85;5;37–48;1
Yes;Female;Yes;No;No;11;Yes;No;Fiber optic;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;101,85;95,0;23,75;1120,3;4;0–12;1
No;Female;No;Yes;No;6;Yes;Yes;Dsl;No;No;No;No;No;No;Month-to-month;No;Electronic check;52,42;50,35;50,35;314,55;1;0–12;0
No;Male;No;No;No;30;Yes;Yes;Dsl;Yes;No;No;No;No;Yes;Month-to-month;Yes;Mailed check;62,95;64,5;21,5;1888,45;3;25–36;0
No;Male;No;No;No;27;Yes;No;No;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;19,62;19,4;19,4;529,8;1;25–36;0
No;Male;Yes;Yes;No;70;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;One year;Yes;Electronic check;104,41;104,8;20,96;7308,95;5;61–72;0
No;Female;No;Yes;No;57;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;One year;Yes;Bank transfer (automatic);109,7;109,4;18,233333333333334;6252,7;6;49–60;0
No;Male;No;Yes;No;58;Yes;No;Dsl;No;No;Yes;No;No;No;One year;No;Credit card (automatic);49,63;50,3;25,15;2878,55;2;49–60;0
No;Male;No;No;No;16;Yes;Yes;Dsl;No;Yes;Yes;No;No;Yes;Month-to-month;Yes;Bank transfer (automatic);75,76;71,4;17,85;1212,1;4;13–24;0
No;Female;No;Yes;No;69;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Electronic check;118,59;116,0;16,571428571428573;8182,85;7;61–72;0
Yes;Male;No;No;No;1;Yes;No;No;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;19,85;19,85;19,85;19,85;1;0–12;1
Yes;Male;No;No;Yes;1;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;99,75;99,75;24,9375;99,75;4;0–12;1
No;Male;Yes;Yes;Yes;32;Yes;No;Fiber optic;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Mailed check;89,42;93,95;23,4875;2861,45;4;25–36;0
No;Male;No;Yes;Yes;16;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;No;Month-to-month;Yes;Bank transfer (automatic);90,14;90,8;30,266666666666666;1442,2;3;13–24;0
Yes;Male;No;Yes;No;49;Yes;Yes;Dsl;Yes;No;Yes;Yes;Yes;Yes;One year;No;Electronic check;82,84;84,35;14,058333333333332;4059,35;6;49–60;1
No;Female;No;Yes;No;71;No;No;Dsl;No;Yes;Yes;Yes;Yes;Yes;Two year;No;Bank transfer (automatic);58,39;58,25;11,65;4145,9;5;61–72;0
No;Female;No;No;No;33;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;No;Electronic check;110,47;107,55;21,509999999999998;3645,5;5;25–36;0
No;Female;No;Yes;No;10;Yes;No;No;No;No;No;No;No;No;Month-to-month;Yes;Bank transfer (automatic);18,77;19,95;19,95;187,75;1;0–12;0
Yes;Male;No;Yes;No;21;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;110,34;111,2;18,533333333333335;2317,1;6;13–24;1
Yes;Male;No;Yes;Yes;37;No;No;Dsl;Yes;Yes;Yes;No;No;No;Month-to-month;No;Bank transfer (automatic);39,16;40,2;13,4;1448,8;3;37–48;1
No;Female;Yes;No;No;26;Yes;No;Fiber optic;Yes;No;No;No;Yes;No;Month-to-month;Yes;Credit card (automatic);84,37;85,8;28,599999999999998;2193,65;3;25–36;0
No;Male;No;No;No;50;No;No;Dsl;Yes;No;No;Yes;No;No;One year;Yes;Mailed check;34,98;35,4;17,7;1748,9;2;49–60;0
Yes;Female;No;No;No;7;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;73,04;73,85;73,85;511,25;1;0–12;1
No;Female;No;Yes;Yes;61;Yes;Yes;Dsl;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Mailed check;90,6;88,1;12,585714285714285;5526,75;7;61–72;0
Yes;Male;No;No;No;15;Yes;No;Fiber optic;No;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;103,6;101,35;20,27;1553,95;5;13–24;1
No;Female;No;No;Yes;26;No;No;Dsl;Yes;No;No;Yes;No;Yes;Month-to-month;No;Mailed check;44,12;45,8;15,266666666666666;1147,0;3;25–36;0
No;Male;No;Yes;No;72;Yes;No;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;93,71;94,65;23,6625;6747,35;4;61–72;0
No;Male;No;Yes;Yes;44;Yes;No;No;No;No;No;No;No;No;One year;Yes;Bank transfer (automatic);19,66;20,5;20,5;865,05;1;37–48;0
No;Male;No;No;No;66;Yes;Yes;Fiber optic;No;Yes;No;No;No;Yes;Month-to-month;No;Credit card (automatic);90,56;89,4;29,8;5976,9;3;61–72;0
Yes;Female;No;No;No;2;Yes;No;Fiber optic;Yes;Yes;No;Yes;No;No;Month-to-month;Yes;Electronic check;90,82;86,25;21,5625;181,65;4;0–12;1
No;Female;Yes;No;No;44;Yes;No;Dsl;No;No;Yes;Yes;Yes;Yes;One year;No;Bank transfer (automatic);74,27;74,85;14,969999999999999;3268,05;5;37–48;0
Yes;Female;No;No;No;12;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;Yes;Bank transfer (automatic);87,7;89,75;29,916666666666668;1052,4;3;0–12;1
No;Male;Yes;Yes;No;69;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Electronic check;110,64;109,95;18,325;7634,25;6;61–72;0
Yes;Female;No;No;No;1;Yes;Yes;Fiber optic;No;Yes;No;No;No;No;Month-to-month;Yes;Mailed check;80,2;80,2;40,1;80,2;2;0–12;1
Yes;Female;No;No;No;3;Yes;No;No;No;No;No;No;No;No;Month-to-month;No;Mailed check;21,25;19,85;19,85;63,75;1;0–12;1
No;Female;No;Yes;No;2;Yes;No;Fiber optic;Yes;Yes;No;No;Yes;No;Month-to-month;No;Electronic check;95,25;90,35;22,5875;190,5;4;0–12;0
No;Female;Yes;No;No;27;Yes;Yes;Fiber optic;No;Yes;Yes;No;No;No;Month-to-month;Yes;Bank transfer (automatic);88,93;86,45;28,816666666666666;2401,05;3;25–36;0
No;Male;No;No;No;26;Yes;No;No;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;19,66;20,3;20,3;511,25;1;25–36;0
No;Female;Yes;Yes;No;39;Yes;Yes;Fiber optic;No;No;No;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;101,26;101,25;25,3125;3949,15;4;37–48;0
Yes;Male;No;No;No;25;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);94,48;94,7;31,566666666666666;2362,1;3;25–36;1
Yes;Female;No;No;No;1;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;No;Mailed check;70,9;70,9;70,9;70,9;1;0–12;1
Yes;Male;No;Yes;No;22;Yes;No;Dsl;Yes;No;No;Yes;No;No;Month-to-month;Yes;Electronic check;52,4;54,2;18,066666666666666;1152,7;3;13–24;1
No;Female;No;No;No;72;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Electronic check;118,01;114,9;16,414285714285715;8496,7;7;61–72;0
No;Female;No;No;No;24;Yes;No;No;No;No;No;No;No;No;Two year;Yes;Bank transfer (automatic);19,59;19,55;19,55;470,2;1;13–24;0
No;Female;No;Yes;No;19;Yes;Yes;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;82,34;86,85;43,425;1564,4;2;13–24;0
No;Male;No;Yes;Yes;71;Yes;Yes;No;No;No;No;No;No;No;Two year;No;Credit card (automatic);26,02;25,35;25,35;1847,55;1;61–72;0
No;Male;Yes;Yes;No;33;Yes;Yes;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);111,96;109,9;18,316666666666666;3694,7;6;25–36;0
No;Female;No;No;No;3;Yes;No;No;No;No;No;No;No;No;Month-to-month;No;Mailed check;19,33;19,95;19,95;58,0;1;0–12;0
No;Male;No;Yes;Yes;47;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;No;Electronic check;85,48;87,2;29,066666666666666;4017,45;3;37–48;0
No;Male;No;Yes;Yes;62;Yes;No;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Mailed check;110,09;108,15;15,450000000000001;6825,65;7;61–72;0
No;Male;No;No;No;71;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;One year;Yes;Bank transfer (automatic);117,04;116,3;16,614285714285714;8309,55;7;61–72;0
No;Male;Yes;Yes;No;7;Yes;No;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;86,49;89,0;29,666666666666668;605,45;3;0–12;0
No;Female;No;Yes;Yes;27;Yes;No;Fiber optic;Yes;No;No;No;No;No;Month-to-month;No;Mailed check;73,05;74,4;37,2;1972,35;2;25–36;0
No;Male;No;No;No;2;Yes;No;No;No;No;No;No;No;No;Month-to-month;No;Mailed check;16,85;20,05;20,05;33,7;1;0–12;0
No;Female;No;No;Yes;25;No;No;Dsl;Yes;No;No;Yes;No;No;Two year;No;Bank transfer (automatic);33,78;35,05;17,525;844,45;2;25–36;0
No;Male;Yes;No;No;30;Yes;No;Dsl;Yes;Yes;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;70,38;74,75;14,95;2111,3;5;25–36;0
Yes;Female;Yes;Yes;No;58;Yes;No;Fiber optic;Yes;Yes;No;Yes;Yes;Yes;One year;Yes;Credit card (automatic);106,99;105,5;17,583333333333332;6205,5;6;49–60;1
Yes;Male;No;Yes;No;10;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;85,53;85,25;42,625;855,3;2;0–12;1
No;Female;No;No;No;9;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Credit card (automatic);70,43;75,2;75,2;633,85;1;0–12;0
Yes;Female;Yes;Yes;No;6;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;79,15;84,35;42,175;474,9;2;0–12;1
No;Female;No;Yes;Yes;69;Yes;Yes;Fiber optic;Yes;No;Yes;No;No;No;One year;No;Bank transfer (automatic);84,76;84,45;28,150000000000002;5848,6;3;61–72;0
No;Female;Yes;No;No;66;Yes;Yes;Fiber optic;Yes;No;No;No;Yes;Yes;Two year;Yes;Bank transfer (automatic);98,06;102,4;25,6;6471,85;4;61–72;0
Yes;Female;No;No;No;70;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;One year;No;Credit card (automatic);116,11;115,55;16,507142857142856;8127,6;7;61–72;1
Yes;Male;No;No;No;25;Yes;Yes;No;No;No;No;No;No;No;One year;No;Bank transfer (automatic);27,05;25,3;25,3;676,35;1;25–36;1
No;Female;No;Yes;Yes;46;Yes;No;No;No;No;No;No;No;No;Two year;Yes;Mailed check;18,79;19,25;19,25;864,2;1;37–48;0
No;Female;No;Yes;No;54;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;One year;Yes;Mailed check;112,03;114,65;16,37857142857143;6049,5;7;49–60;0
Yes;Female;No;No;No;15;Yes;No;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;Month-to-month;No;Electronic check;105,52;105,1;17,516666666666666;1582,75;6;13–24;1
No;Female;No;Yes;Yes;12;Yes;No;No;No;No;No;No;No;No;Month-to-month;No;Bank transfer (automatic);16,51;19,4;19,4;198,1;1;0–12;0
No;Female;No;No;No;22;No;No;Dsl;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;49,95;50,35;16,783333333333335;1098,85;3;13–24;0
No;Female;No;Yes;No;70;No;No;Dsl;No;Yes;Yes;Yes;Yes;Yes;Two year;No;Bank transfer (automatic);57,7;57,8;11,559999999999999;4039,3;5;61–72;0
No;Male;No;No;No;30;Yes;No;Fiber optic;Yes;Yes;Yes;No;No;No;Month-to-month;Yes;Credit card (automatic);81,29;84,3;21,075;2438,6;4;25–36;0
No;Male;No;Yes;Yes;71;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;One year;No;Bank transfer (automatic);100,19;100,55;25,1375;7113,75;4;61–72;0
No;Male;No;Yes;No;30;Yes;No;No;No;No;No;No;No;No;One year;No;Credit card (automatic);19,22;19,8;19,8;576,65;1;25–36;0
Yes;Male;No;Yes;Yes;4;Yes;Yes;Fiber optic;No;Yes;Yes;No;No;No;Month-to-month;Yes;Bank transfer (automatic);92,98;84,8;28,266666666666666;371,9;3;0–12;1
Yes;Male;No;No;No;2;Yes;No;Fiber optic;No;No;Yes;No;No;Yes;Month-to-month;Yes;Electronic check;83,65;85,85;28,616666666666664;167,3;3;0–12;1
No;Male;No;No;Yes;10;Yes;No;No;No;No;No;No;No;No;One year;Yes;Bank transfer (automatic);21,95;19,95;19,95;219,5;1;0–12;0
No;Male;Yes;No;No;4;Yes;No;Fiber optic;Yes;No;No;No;No;No;Month-to-month;No;Electronic check;68,35;75,35;37,675;273,4;2;0–12;0
No;Male;Yes;No;No;52;No;No;Dsl;Yes;No;No;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);49,14;48,8;16,266666666666666;2555,05;3;49–60;0
Yes;Male;No;No;No;5;Yes;Yes;Dsl;No;No;No;No;No;No;Month-to-month;No;Electronic check;44,63;47,15;47,15;223,15;1;0–12;1
No;Male;No;Yes;Yes;8;Yes;No;No;No;No;No;No;No;No;Two year;No;Mailed check;20,69;20,15;20,15;165,5;1;0–12;0
No;Female;Yes;No;No;2;Yes;No;Dsl;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;44,65;44,3;44,3;89,3;1;0–12;0
No;Male;No;No;No;3;Yes;No;Fiber optic;No;Yes;No;No;No;Yes;Month-to-month;No;Electronic check;78,35;84,3;28,099999999999998;235,05;3;0–12;0
No;Male;No;No;No;19;Yes;Yes;Dsl;No;No;Yes;Yes;No;No;Month-to-month;No;Electronic check;60,24;59,55;19,849999999999998;1144,6;3;13–24;0
No;Male;No;No;No;72;Yes;Yes;Dsl;Yes;Yes;Yes;Yes;No;No;Two year;No;Bank transfer (automatic);68,17;69,65;13,930000000000001;4908,25;5;61–72;0
No;Male;Yes;Yes;No;63;No;No;Dsl;Yes;No;No;Yes;No;No;One year;No;Bank transfer (automatic);36,49;36,1;18,05;2298,9;2;61–72;0
No;Male;No;Yes;No;66;No;No;Dsl;Yes;Yes;Yes;Yes;Yes;No;Two year;Yes;Bank transfer (automatic);57,41;56,6;11,32;3789,2;5;61–72;0
Yes;Male;No;No;No;1;Yes;No;Fiber optic;No;No;No;Yes;No;No;Month-to-month;Yes;Electronic check;75,9;75,9;37,95;75,9;2;0–12;1
No;Female;No;No;No;60;Yes;Yes;Fiber optic;No;No;Yes;No;No;No;One year;Yes;Bank transfer (automatic);79,42;79,2;39,6;4765,0;2;49–60;0
No;Female;No;Yes;Yes;48;No;No;Dsl;Yes;No;Yes;No;No;Yes;One year;No;Credit card (automatic);45,76;45,0;15,0;2196,3;3;37–48;0
Yes;Female;No;No;No;1;Yes;No;Fiber optic;No;No;Yes;No;Yes;No;Month-to-month;Yes;Credit card (automatic);85,55;85,55;28,516666666666666;85,55;3;0–12;1
Yes;Male;No;No;No;15;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;96,31;93,35;31,116666666666664;1444,65;3;13–24;1
No;Female;No;Yes;No;50;Yes;Yes;Fiber optic;Yes;Yes;No;Yes;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);108,12;109,65;18,275000000000002;5405,8;6;49–60;0
No;Male;No;Yes;Yes;72;Yes;Yes;Dsl;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Credit card (automatic);88,05;89,7;12,814285714285715;6339,3;7;61–72;0
No;Female;No;No;No;46;Yes;Yes;Fiber optic;Yes;Yes;No;No;No;No;Month-to-month;No;Mailed check;83,64;84,25;28,083333333333332;3847,6;3;37–48;0
No;Female;No;Yes;Yes;72;Yes;Yes;Dsl;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Bank transfer (automatic);93,51;92,65;13,235714285714286;6733,0;7;61–72;0
No;Male;No;Yes;Yes;1;Yes;No;No;No;No;No;No;No;No;Month-to-month;No;Mailed check;19,7;19,7;19,7;19,7;1;0–12;0
No;Female;No;No;No;1;Yes;Yes;Dsl;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;50,1;50,1;50,1;50,1;1;0–12;0
No;Female;Yes;No;No;67;Yes;No;Fiber optic;Yes;Yes;No;Yes;Yes;No;Two year;Yes;Bank transfer (automatic);91,65;92,45;18,490000000000002;6140,85;5;61–72;0
No;Female;No;Yes;Yes;48;Yes;Yes;Dsl;No;Yes;No;Yes;Yes;Yes;Two year;No;Electronic check;80,63;79,65;15,930000000000001;3870,3;5;37–48;0
No;Female;No;No;No;72;Yes;No;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Electronic check;105,89;109,9;15,700000000000001;7624,2;7;61–72;0
No;Male;No;Yes;No;52;Yes;Yes;Dsl;Yes;Yes;Yes;Yes;No;Yes;One year;Yes;Credit card (automatic);83,74;81,4;13,566666666666668;4354,45;6;49–60;0
No;Female;No;Yes;Yes;67;Yes;No;Dsl;No;Yes;No;No;No;No;One year;No;Credit card (automatic);51,22;50,55;25,275;3431,75;2;61–72;0
Yes;Female;No;Yes;Yes;28;Yes;No;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;79,54;81,05;40,525;2227,1;2;25–36;1
